4Q286 f1i:7       [ -- ]ינו
4Q286 f1i:8       [ --]אמן.
4Q286 f1ii:1       מושב יקרכה והדומי רגלי כ̇ב֯ו̇דכה ב֯[מ]ר֯ומי עומדכה ומד̇ר̇[ך].
4Q286 f1ii:2       קודשכה ומרכבות כבודכה כר֯וביהמה ואופניה֯מה וכול ס̇ו̇ד̇י̇[המה]
4Q286 f1ii:3       מ̇ו̇ס^ד^י אש ושביבי נוג֯ה וזהרי הוד נה[ור]י֯ א֯ורים ומא֯ורי פלא
4Q286 f1ii:4       [הו]ד והדר ורום כבוד סוד קודש ומק̇[ור ז]ו̇הר ורום תפארת פ[לא]
4Q286 f1ii:5       [הוד]ות ומקוה גבורות הדר תשבוחות וגדול נוראות ורפ̇או֯[ת --]
4Q286 f1ii:6       ומעשי פלאים סוד חוכמא ותבנית דעה ומקור {{מ}}בינה מ̇ק֯ו֯ר֯ ע̇ר֯מ֯ה
4Q286 f1ii:7       ועצת קודש וסוד אמת אוצ֯ר שכ֯ל̇ מ̇בני צדק ומכוני יוש̇[ר רב]
4Q286 f1ii:8       חסד̇י֯ם֯ וענו̇ת טוב וחסדי אמת ורחמי עולמים.   ורזי פל̇[אים]
4Q286 f1ii:9       בהר[אותמ]ה֯ ושבועי קודש בתכונמה ודגלי חודשים [ --]
4Q286 f1ii:10       [ראשי ש]נ֯ים בתקופותמה ומועדי כבוד בתעודות֯[מה -- ]
4Q286 f1ii:11       [ -- ]ו̇שבתות ארץ במחל[קותמה ומו]עדי דרו֯[ר --]
4Q286 f1ii:12       [ -- ]ר֯ור֯י נצח ו◌[ -- ]ל [ -- ]
4Q286 f1ii:13       [ -- ]א֯ור וחש̇[בוני -- ].
4Q286 f2:1       [ -- ]ם בעוז הדר֯מ̇ה וכול ר֯וחי משאי מקד[ש ]
4Q286 f2:2       [ -- ]ב֯סוד֯[יהמה ובמ]מ֯שלותמה גבורי אלים בכו̇ח֯
4Q286 f2:3       [ -- ]◌ קנאת משפט בעוז
4Q286 f2:4       [ --יברכו בי]ח̇ד כולמה את שם קודשכה
4Q286 f2:5       [ -- קו]דש קודשים וא֯ר֯ר[ו]
4Q286 f2:6       [ -- ]ד̇עת ב֯[ינ]ה֯.
4Q286 f2:7       [ -- ]ו֯רנ̇ן̇ ◌[ ]◌.
4Q286 f3:1       [ -- ]◌ כ֯◌[ -- ]
4Q286 f3:2       [ -- ]◌ מלאכי מש[רת -- ]
