4Q512 f39i:1       [ -- ]◌◌
4Q512 f39i:2       [ -- ו]א̇חר֯.
4Q512 f39ii:1       כפורי֯[ם ]ו֯אני אה̇[ל]לה ש֯[מכה -- ]
4Q512 f39ii:2       כיא טה֯רתני ו֯תביאני ב֯[ -- ].
4Q512 f36_38:11       [ -- ] א̇ת̇ ב֯גדיו ו[ -- ]
4Q512 f36_38:12       [ -- ]פו כול לשונו֯ת֯[ -- ]
4Q512 f36_38:13       [ -- ]ה לכה סוד אנש[ים -- ]
4Q512 f36_38:14       [ --.   ]〚 〛[ -- ]
4Q512 f36_38:15       [ -- ]
4Q512 f36_38:16       [ -- ]◌[ ]◌ש֯ה֯[ -- ]
4Q512 f36_38:17       [ -- ]נכה מכול ערו[ת ]ב֯שרנו ל֯ח[ -- ].
4Q512 f33+35:1       [ -- ] ולמועד שבת בש[בתו]ת֯ לכול̇ שבועי
4Q512 f33+35:2       [ -- ו]מו̇ע֯[ד ]◌◌[ -- ו]ארבעת מועדי
4Q512 f33+35:3       [ -- ו]מ֯ו֯עד ק[צ]י֯ר ^וקיץ֯^ ור[אש ח]ודש א
4Q512 f33+35:4       [ --.   ]〚 〛[ ]〚 〛[ -- ]〚 〛[ -- ]
4Q512 f33+35:5       [ -- ]ב֯מים [ -- ]להתקדש
4Q512 f33+35:6       [ -- ]שר י֯[ברך וענה] ואמר ברוך אתה̇
4Q512 f33+35:7       [אל -- ] לרחמ֯[יכה -- ^]ה [^ -- ]יכה
4Q512 f33+35:8       [ -- ]◌ו֯ת וא[ני -- ]לה
4Q512 f33+35:9       [ -- ]◌וה בנד[ה -- ]
4Q512 f33+35:10       [ -- ]ר֯ טוהר֯[ -- ]
4Q512 f33+35:11       [ -- ]◌◌◌[ -- ].
4Q512 f34:13       [ -- ]◌◌[ ]◌[ -- ]
4Q512 f34:14       [ -- ]תוך עמו̇ [ -- ]
4Q512 f34:15       [ -- ]ת֯חנן ע̇ל כול נסתר[ו]ת֯ אשמ̇[ה -- ]
4Q512 f34:16       [ -- ]◌ ה֯צדיק בכול מע[שי]כ̇[ה -- ]
4Q512 f34:17       [ -- ]◌ה מנגע הנדה [ ]◌ה כי֯א֯[ -- ].
4Q512 f29_32:1       [ -- ] ב֯ר֯ו֯ך֯ א̇[תה אל ישראל]
4Q512 f29_32:2       [ -- ]עם קודש֯[ -- ]
4Q512 f29_32:3       [ -- ]ת֯[ -- ] משגה [ -- ]
4Q512 f29_32:4       [ -- ב]מים ו֯[ -- ]◌ה◌[ -- ]
4Q512 f29_32:5       [ -- ]ו֯ברך שם̇[ את אל ישראל וענה ואמר ברוך אתה אל]
4Q512 f29_32:6       [ישראל ואני עומד ]ל֯פ֯ניכה במו֯ע֯[ד -- ]
4Q512 f29_32:7       [ -- ]◌תני לט̇הרת[ -- ]
4Q512 f29_32:8       [ -- ]ו̇עולתו.   ו֯ברך וענ[ה] ואמר ברוך אתה̇[ אל ישראל אשר]
4Q512 f29_32:9       [הצלתני מכו]ל פשעי ותטהרני֯ מ֯ע֯רות נדה ^ותכפר^ לבוא [ -- ]
4Q512 f29_32:10       [ -- ]◌ טוהר {{^י֯ו֯^}} ו֯דם עולת רצ֯ו֯נ֯כ֯ה֯ ו֯זכרון ניחו[ח -- ]
4Q512 f29_32:11       [ -- ]מ֯קטרת קודשכ֯[ה וני]ח֯[ו]ח̇ רצונכה[ -- ].
4Q512 f29_32:16       [ -- ]◌[ ]◌[ -- ]
4Q512 f29_32:17       [ -- ]ר וט◌[ -- ]
4Q512 f29_32:18       [ -- ]ח֯טתי ◌[ -- ]
4Q512 f29_32:19       [ -- ]ת צדק ו[ -- ]◌ ◌◌◌[ -- ]
4Q512 f29_32:20       [ -- ] תנ֯קה עד משפט[ -- י]ש֯ראל אש[ר --.   ]
4Q512 f29_32:21       [ -- ברוך ]א֯ת֯ה אל יש̇[ראל -- ]לכ֯פורי֯[ -- ]
4Q512 f29_32:22       [ -- ]◌◌◌[ -- ].
4Q512 f21_22:1       [ -- ]מ̇ה ונתו̇ן את[ י]ד֯ו֯ לש[ -- ]
4Q512 f21_22:2       [ -- ו]במי֯לא[ת לו -- ].
4Q512 f23:1       [ -- ] ◌◌א֯ו֯ [ -- ]
4Q512 f23:2       [ -- עוו]נ֯ות הרשונ[ים -- ]
4Q512 f23:3       [ -- ]א֯ת֯ ה֯[ -- ].
4Q512 f24_25:1       [ -- ]ת֯כה̇[ -- ]
4Q512 f24_25:2       [ -- ]◌לתם֯ ל֯רו֯ב◌◌[ ]ם֯[ -- ]
4Q512 f24_25:3       [ -- ]◌ שמכ̇ה בשמחה֯[ -- ]
4Q512 f24_25:4       [ -- ]ש.   ואחר הדבר֯[י]ם הא֯[לה -- ]
4Q512 f24_25:5       [ -- ]ל[ ]◌ נ֯ר[ ]בשערו[ -- ]
4Q512 f24_25:6       [ -- ]◌◌[ -- ].
4Q512 f26:1       [ -- ]כ֯[ -- ]
4Q512 f26:2       [ -- ]ש̇ר ◌[ -- ]
4Q512 f26:3       [ -- ]ה̇נכ◌[ -- ]
4Q512 f26:4       [ -- ]לל [ -- ].
4Q512 f27:1       [ -- ו]ב֯מ֯י֯ל֯א̇ת̇[ לו -- ]
4Q512 f27:2       [ -- ]בשרו֯ ו֯כ[ -- ]
4Q512 f27:3       [ -- ועמ]ד֯ על עומד[ו -- ]
4Q512 f27:4       [ -- ]ה֯תח[ -- ]
4Q512 f27:5       [ -- ]ל◌[ -- ].
4Q512 f28:1       [ -- א]ני֯ עב֯[דכה -- ]
4Q512 f28:2       [ -- ]מודה לשונ֯[י -- ]
4Q512 f28:3       [ -- ]י֯ לפניכה א[ -- ]
4Q512 f28:4       [ -- ]חטאתי֯ ה◌[ -- ]
4Q512 f28:5       [ -- ]להראות֯[ -- ].
4Q512 f14i:1       [ -- ]◌
4Q512 f14i:2       [ -- ]◌י֯ן.
4Q512 f15i_16:1       [ -- ]◌עוו̇ן̇ אשמה
4Q512 f15i_16:2       [ -- ]במימי
4Q512 f15i_16:3       [ -- ]ו̇רחץ
4Q512 f15i_16:4       [ -- ] לו בשלושת
4Q512 f15i_16:5       [ --.  .   ]〚 〛
4Q512 f15i_16:6       [ -- ]את כו֯ל֯
4Q512 f15i_16:7       [ -- ]ק למ֯לא
4Q512 f15i_16:8       [ -- ]ב֯
4Q512 f15i_16:9       [ -- ]◌ל הטוהר
4Q512 f15i_16:10       [ -- ] עוון̇
4Q512 f15i_16:11       [ -- וב]רך שם
4Q512 f15i_16:12       [את אל ישראל -- ט]הרתי֯
4Q512 f15i_16:13       [ -- ]רת וא֯ח̇ר
4Q512 f15i_16:14       [ -- ]ל[ -- ].
4Q512 f19:1       [ -- ור]חץ.
4Q512 f20:1       [ -- ]◌[ -- ]
4Q512 f20:2       [ -- ]שכים.
4Q512 f13:1       ◌[ -- ].
4Q512 f14ii:1       נקבה֯[ -- ]
4Q512 f14ii:2       ברצונו֯[ -- ]
4Q512 f14ii:3       א֯מ֯ת֯ ◌[ -- ].
4Q512 f15ii:3       [ -- ]◌[ ]צדק [ -- ]
4Q512 f15ii:4       ואחר [ -- ]
4Q512 f15ii:5       טהורי֯[ם -- ].
4Q512 f10:1       [ -- ]◌זוב טמאתו [ -- ]
4Q512 f10:2       [ -- ^] ◌◌ו֯ל◌[^ ]ל֯[ -- ].
4Q512 f11:1       [ -- ]◌[ ]◌◌[ -- ]◌◌[ ]◌[ -- ]
4Q512 f11:2       [ובמילא]ת֯ לו שבעת ימי טה֯[רתו -- ]
4Q512 f11:3       [ -- ]◌[ ו]כבס את בגדיו במ֯[ים ורחץ את בשרו -- ]
4Q512 f11:4       ו֯כסה את בגדיו וברך ע[ל ברכיו -- ]
4Q512 f11:5       אל ישר֯[א]ל[ -- ].
4Q512 f17:1       [ -- י]ב֯ר֯ך֯ א̇ת֯[ אל -- ]
4Q512 f17:2       [ -- מ]ו֯עדי של[ום -- ]
4Q512 f17:3       [ -- ]◌ה לכ֯ה ◌[ -- ].
4Q512 f18:1       [ -- ]◌◌ם [ -- ]
4Q512 f18:2       [ -- בג]ד̇יו ועט[ה -- ]
4Q512 f18:3       [ -- ]בשמחה[ -- ].
4Q512 f7_9:1       את כול הד[ברים האלה יעשה הזב -- ]
4Q512 f7_9:2       בטוהרו מז[ובו -- ט]הרת י֯ש֯ר֯[אל]
4Q512 f7_9:3       ולאכול ולש֯[תות -- בע]רי֯ מו֯שב̇[ותם]
4Q512 f7_9:4       ולהיות עם[ קודש --.   ]〚 〛[ -- ]
4Q512 f7_9:5       [ -- ]〚 〛[ -- ] אש[ -- ].
4Q512 f1_6:1       וביום השלישי̇ [ -- ובר]ך ו̇ענה ואמ[ר ברוך]
4Q512 f1_6:2       [את]ה֯ אל ישראל [אשר צויתה לטמאי ע]ת֯ים להטהר מ֯[נדת]
4Q512 f1_6:3       [ -- ]נפש בכפו̇[רי רצונכה -- ]אפר קודש [ -- ]
4Q512 f1_6:4       כ̇ב֯[ ]◌ח֯◌ במי ד֯ו֯כ֯[י ]◌◌[ -- ]ל בלוחות עול֯ם֯
4Q512 f1_6:5       ו֯מי רחץ֯ לטהרת עתים[ -- ]ב֯גדיו.   ואחר[ יוזה עליו]
4Q512 f1_6:6       את מימי ^ה[ז]י֯ה^ לטהרו ואת̇ כול[ --.   ]
4Q512 f1_6:7       ואח֯[ר ה]וזותו את מימ[י הזיה יברך וענה ואמר ברוך אתה]
4Q512 f1_6:8       א[ל ישרא]ל אשר֯ נ̇תתה ל[נו -- ]
4Q512 f1_6:9       ו<<מ>>{{ו}}נדות טמאה.   והיום[ אני -- ]◌◌ק֯ד֯◌◌[ ]
4Q512 f1_6:10       נדה להתקדש לכה ו֯[ -- ע]ו֯למ[ים] כיא
4Q512 f1_6:11       [ -- ]נ֯דה ולוא יוכ[ל כול -- י]מי כבודכה
4Q512 f1_6:12       ו֯בר֯[ית -- ]הרשונים ו֯[ -- ] אשמתם ועל ח֯[ -- ]
4Q512 f1_6:13       כול מ֯[ ]◌◌◌ם֯[ -- ]ר ותקדשהו [בכול]
